peptide,full_name,slug,category,categoryLabel,dosageOptions,lot,variants,variantSlugs,targetFilename,reason
"CJC‑1295 without DAC+ IPA","CJC‑1295 without DAC 10 mg + IPA 10 mg 20mg","imported-cjc-1295-without-dac-10-mg-ipa-10-mg-20mg","research","Research Peptide","20","IMP-0061","1","imported-cjc-1295-without-dac-10-mg-ipa-10-mg-20mg","cjc-1295-without-dac-10-mg-ipa-10.jpg","missing-file"
"CJC‑1295 with DAC","CJC‑1295 with DAC 2mg","imported-cjc-1295-with-dac-2mg","research","Research Peptide","2","IMP-0062","2","imported-cjc-1295-with-dac-2mg; imported-cjc-1295-with-dac-5mg","cjc-1295-with-dac.jpg","placeholder"
"TB‑500 (Thymosin B4 Acetate)","TB‑500 (Thymosin B4 Acetate) 2mg","imported-tb-500-thymosin-b4-acetate-2mg","research","Research Peptide","2","IMP-0065","1","imported-tb-500-thymosin-b4-acetate-2mg","tb-500-thymosin-b4.jpg","placeholder"
"TB‑500 (FRAG)","TB‑500 (FRAG) 10mg","imported-tb-500-frag-10mg","research","Research Peptide","10","IMP-0069","1","imported-tb-500-frag-10mg","tb-500-frag.jpg","placeholder"
"MGF","MGF 2mg","imported-mgf-2mg","research","Research Peptide","2","IMP-0070","1","imported-mgf-2mg","mgf.jpg","placeholder"
"PEG MGF","PEG MGF 2mg","imported-peg-mgf-2mg","research","Research Peptide","2","IMP-0071","1","imported-peg-mgf-2mg","peg-mgf.jpg","placeholder"
"Sermorelin Acetate","Sermorelin Acetate 2mg","imported-sermorelin-acetate-2mg","research","Research Peptide","2","IMP-0072","4","imported-sermorelin-acetate-2mg; imported-sermorelin-acetate-5mg; imported-sermorelin-acetate-10mg; imported-sermorelin-acetate-15mg","sermorelin.jpg","placeholder"
"AOD‑9604","AOD‑9604 2mg","imported-aod-9604-2mg","research","Research Peptide","2","IMP-0076","3","imported-aod-9604-2mg; imported-aod-9604-5mg; imported-aod-9604-10mg","aod-9604.jpg","missing-file"
"Tesamorelin+ Ipamorelin","Tesamorelin 12 mg + Ipamorelin 6 mg 18mg","imported-tesamorelin-12-mg-ipamorelin-6-mg-18mg","research","Research Peptide","18","IMP-0084","1","imported-tesamorelin-12-mg-ipamorelin-6-mg-18mg","tesamorelin-12-mg-ipamorelin-6-mg-18mg.jpg","placeholder"
"Hexarelin Acetate","Hexarelin Acetate 2mg","imported-hexarelin-acetate-2mg","research","Research Peptide","2","IMP-0088","2","imported-hexarelin-acetate-2mg; imported-hexarelin-acetate-5mg","hexarelin.jpg","placeholder"
"Thymalin","Thymalin 10mg","imported-thymalin-10mg","research","Research Peptide","10","IMP-0096","1","imported-thymalin-10mg","thymalin.jpg","placeholder"
